caldt,vwretd
1927-04-16,0.001998
1927-04-18,-0.000288
1927-04-19,0.001782
1927-04-20,0.002750
1927-04-21,0.003795
1927-04-22,0.000968
1927-04-23,-0.003511
1927-04-25,-0.015518
1927-04-26,0.006019
1927-04-27,-0.003781
1927-04-28,-0.010868
1927-04-29,0.004749
1927-04-30,-0.000044
1927-05-02,0.002764
1927-05-03,0.007517
1927-05-04,0.007727
1927-05-05,0.003081
1927-05-06,0.002889
1927-05-07,0.003021
1927-05-09,0.002016
1927-05-10,-0.000730
1927-05-11,-0.001226
1927-05-12,-0.001008
1927-05-13,0.005060
1927-05-14,0.000344
1927-05-16,-0.007020
1927-05-17,0.004710
1927-05-18,0.005111
1927-05-19,0.001937
1927-05-20,0.004778
1927-05-21,0.002583
1927-05-23,0.001814
1927-05-24,-0.001359
1927-05-25,0.001708
1927-05-26,0.001479
1927-05-27,0.004528
1927-05-28,0.001483
1927-05-31,0.002618
1927-06-01,0.003390
1927-06-02,0.000789
1927-06-03,-0.008892
1927-06-04,0.004619
1927-06-06,0.005056
1927-06-07,-0.002392
1927-06-08,0.002783
1927-06-09,0.000290
1927-06-10,-0.003907
1927-06-11,-0.000962
1927-06-14,-0.014970
1927-06-15,0.009121
1927-06-16,0.006305
1927-06-17,0.001667
1927-06-18,-0.001167
1927-06-20,-0.001843
1927-06-21,-0.003491
1927-06-22,0.000197
1927-06-23,-0.008544
1927-06-24,0.001450
1927-06-25,-0.000890
1927-06-27,-0.012048
1927-06-28,0.002633
1927-06-29,0.000252
1927-06-30,-0.000872
1927-07-01,0.006773
1927-07-02,0.005604
1927-07-05,0.008452
1927-07-06,0.006174
1927-07-07,-0.002334
1927-07-08,-0.001611
1927-07-09,0.001781
1927-07-11,0.004153
1927-07-12,0.003387
1927-07-13,0.002706
1927-07-14,0.004181
1927-07-15,0.002706
1927-07-16,0.001777
1927-07-18,0.001930
1927-07-19,0.002803
1927-07-20,0.004437
1927-07-21,-0.000374
1927-07-22,-0.000451
1927-07-23,0.001920
1927-07-25,0.004246
1927-07-26,0.002567
1927-07-27,0.000732
1927-07-28,0.001451
1927-07-29,0.004675
1927-07-30,0.004995
1927-08-01,0.005832
1927-08-02,0.006354
1927-08-03,-0.006511
1927-08-04,0.009309
1927-08-05,-0.006076
1927-08-06,-0.001002
1927-08-08,-0.010609
1927-08-09,0.009518
1927-08-10,0.002521
1927-08-11,-0.010069
1927-08-12,-0.015497
1927-08-13,0.009091
1927-08-15,0.012656
1927-08-16,0.006166
1927-08-17,0.003093
1927-08-18,0.000593
1927-08-19,0.001641
1927-08-20,0.003587
1927-08-22,0.003547
1927-08-23,0.000691
1927-08-24,0.001939
1927-08-25,0.000303
1927-08-26,0.002415
1927-08-27,-0.001173
1927-08-29,-0.000205
1927-08-30,-0.000204
1927-08-31,-0.004624
1927-09-01,0.007955
1927-09-02,0.005820
1927-09-03,0.005100
1927-09-06,0.008978
1927-09-07,0.004492
1927-09-08,0.000212
1927-09-09,-0.006307
1927-09-10,0.004373
1927-09-12,-0.003557
1927-09-13,0.012912
1927-09-14,0.003099
1927-09-15,0.002530
1927-09-16,0.000836
1927-09-17,-0.002699
1927-09-19,-0.003138
1927-09-20,0.005728
1927-09-21,-0.001341
1927-09-22,-0.011491
1927-09-23,0.005208
1927-09-24,0.006505
1927-09-26,-0.009038
1927-09-27,0.002349
1927-09-28,-0.003538
1927-09-29,0.002051
1927-09-30,0.012839
1927-10-01,0.005348
1927-10-03,0.002803
1927-10-04,-0.004227
1927-10-05,-0.002696
1927-10-06,0.002600
1927-10-07,-0.007241
1927-10-08,-0.003173
1927-10-10,-0.005204
1927-10-11,0.000450
1927-10-13,0.006977
1927-10-14,0.000016
1927-10-15,0.000348
1927-10-17,-0.012522
1927-10-18,0.003547
1927-10-19,-0.007988
1927-10-20,-0.010110
1927-10-21,-0.007439
1927-10-22,-0.006934
1927-10-24,0.003748
1927-10-25,0.016010
1927-10-26,0.000785
1927-10-27,-0.004043
1927-10-28,-0.014447
1927-10-29,-0.004914
1927-10-31,0.007619
1927-11-01,0.000132
1927-11-02,0.009901
1927-11-03,0.011401
1927-11-04,-0.000183
1927-11-05,0.005889
1927-11-07,0.006966
1927-11-09,-0.008022
1927-11-10,0.002595
1927-11-11,0.008684
1927-11-12,0.003351
1927-11-14,0.005142
1927-11-15,0.001068
1927-11-16,-0.000352
1927-11-17,0.001756
1927-11-18,0.006184
1927-11-19,0.002662
1927-11-21,-0.005111
1927-11-22,0.003771
1927-11-23,0.003000
1927-11-25,0.002577
1927-11-26,0.000079
1927-11-28,-0.007541
1927-11-29,0.006606
1927-11-30,0.005397
1927-12-01,-0.004711
1927-12-02,0.003715
1927-12-03,0.003321
1927-12-05,-0.003894
1927-12-06,-0.000394
1927-12-07,-0.005171
1927-12-08,-0.008489
1927-12-09,0.011549
1927-12-10,0.000679
1927-12-12,0.005986
1927-12-13,0.004177
1927-12-14,-0.003795
1927-12-15,0.005272
1927-12-16,0.006715
1927-12-17,0.000633
1927-12-19,0.003211
1927-12-20,0.000162
1927-12-21,-0.000570
1927-12-22,-0.000214
1927-12-23,0.002071
1927-12-24,0.001484
1927-12-27,0.000148
1927-12-28,-0.005927
1927-12-29,0.001660
1927-12-30,0.004230
1927-12-31,0.003246
1928-01-03,0.004586
1928-01-04,-0.001229
1928-01-05,-0.007224
1928-01-06,0.006768
1928-01-07,0.001120
1928-01-09,-0.008834
1928-01-10,-0.008222
1928-01-11,0.001332
1928-01-12,0.005278
1928-01-13,0.006313
1928-01-14,-0.006691
1928-01-16,-0.008730
1928-01-17,0.001870
1928-01-18,-0.003113
1928-01-19,0.005912
1928-01-20,0.005865
1928-01-21,0.002138
1928-01-23,0.006384
1928-01-24,0.002982
1928-01-25,-0.010470
1928-01-26,0.005409
1928-01-27,0.002766
1928-01-28,-0.004908
1928-01-30,-0.004177
1928-01-31,0.003349
1928-02-01,-0.002421
1928-02-02,0.004489
1928-02-03,-0.011326
1928-02-04,0.000569
1928-02-06,0.002212
1928-02-07,-0.002863
1928-02-08,0.000855
1928-02-09,0.004652
1928-02-10,-0.000732
1928-02-11,0.000079
1928-02-14,-0.003737
1928-02-15,-0.002669
1928-02-16,-0.003044
1928-02-17,-0.016637
1928-02-18,-0.004710
1928-02-20,-0.001550
1928-02-21,0.010674
1928-02-23,0.002263
1928-02-24,0.003456
1928-02-25,0.001427
1928-02-27,-0.004749
1928-02-28,0.003797
1928-02-29,0.005795
1928-03-01,0.002654
1928-03-02,0.000894
1928-03-03,0.004935
1928-03-05,0.006794
1928-03-06,0.004082
1928-03-07,-0.004275
1928-03-08,0.004230
1928-03-09,0.012292
1928-03-10,-0.002402
1928-03-12,0.004517
1928-03-13,-0.003056
1928-03-14,0.001169
1928-03-15,0.007532
1928-03-16,0.009515
1928-03-17,0.002098
1928-03-19,0.001118
1928-03-20,0.004117
1928-03-21,0.008854
1928-03-22,-0.003593
1928-03-23,0.007389
1928-03-24,0.000738
1928-03-26,0.009496
1928-03-27,-0.003342
1928-03-28,0.000303
1928-03-29,0.002111
1928-03-30,0.014955
1928-03-31,-0.005599
1928-04-02,-0.008753
1928-04-03,0.006229
1928-04-04,-0.000705
1928-04-05,0.011316
1928-04-09,0.003301
1928-04-10,-0.007219
1928-04-11,0.014175
1928-04-12,-0.002553
1928-04-13,0.014131
1928-04-14,-0.004321
1928-04-16,0.005194
1928-04-17,-0.006457
1928-04-18,0.000282
1928-04-19,0.005792
1928-04-20,-0.013263
1928-04-23,-0.007093
1928-04-24,0.003693
1928-04-25,0.007670
1928-04-26,0.006678
1928-04-27,0.010414
1928-04-28,0.004732
1928-04-30,0.000612
1928-05-01,0.002736
1928-05-02,0.000862
1928-05-03,0.003946
1928-05-04,0.011722
1928-05-07,0.007422
1928-05-08,-0.005598
1928-05-09,0.000536
1928-05-10,-0.001614
1928-05-11,0.007845
1928-05-14,0.004929
1928-05-15,-0.000466
1928-05-16,-0.015153
1928-05-17,0.004831
1928-05-18,-0.007061
1928-05-21,-0.011446
1928-05-22,-0.013771
1928-05-23,0.017354
1928-05-24,0.005483
1928-05-25,0.002015
1928-05-28,-0.014659
1928-05-29,0.008862
1928-05-31,0.009393
1928-06-01,0.003560
1928-06-02,0.006349
1928-06-04,-0.018371
1928-06-05,0.002359
1928-06-06,-0.008392
1928-06-07,-0.004847
1928-06-08,-0.013824
1928-06-09,-0.012971
1928-06-11,-0.022928
1928-06-12,-0.023077
1928-06-13,0.031275
1928-06-14,0.009677
1928-06-15,-0.012490
